"Vremenska oznaka","1. Gender:","2. Age:","3. Country:","4. Place of living:","5. Profession:","6. Level of education:","7. Monthly income:","8. Ethnic origin:","9. Marital Status:","10. Children:","11. How much time you spend online per day?","12. How often do you buy online?","13. How often do you buy using your mobile phone?","14. How much do you use mobile phone and it's apps?","15. How socially active are you?","16. How much do you use social networks?","17. How sporty are you?","18. How much do you care about environment protection and animals?","19. How trendy are you?","20. How much do you care about your skin?","21. Do you use skincare products?","22. How much informed are you before buying skincare products?","23. How much do you care about expert's recommendations on skincare products?","24. How much do you care about friend's recommendations on skincare products?","25. How much influence on your skincare brand choice has a celebrity recommendation?","26. Where do you buy skincare products?","27. How much (at average) you spend on skincare products per month?","28. What brand of skincare products do you use?","29. How much do you care about natural ingredients in skincare products?","30. How much do you care about the price of a skincare product?","31. How much do you care about the quality of a skincare product?","32. Do you prefer premium or mass products? ","33. How much do you care about the social image of the skincare brand you are buying products from?","34. How much do you care about a store (online or offline) service of the skincare brands?","35. How important for you are free samples before buying?","36. How important for you are a good return policies of skincare brand?","37. How important for you are a skincare brand's environmental and animal testing policies?","38. Do you know brand Kiehl's?","39. Do you use Kiehl's products?","40. What's your level of satisfaction with Kiehl's products?","41. What's your level of satisfaction with Kiehl's service?","42. Would you recommend Kiehl's to your friends and acquaintances?","43. What is your favorite Kiehl's product?","44. What do you associate Kiehl's with?","45. If you buy online skincare products, what service do you use to buy them?","46. Why you use this service?","47. What are your favorite things about this service?","48. How satisfied are you with the online service you are using?","49. How often do you visit online store for skincare products?","50. How many skincare products do you buy online per month?","51. How long you shop before making a purchase of skincare products online?","52. How many items do you buy per online purchase of skincare products?","53. Where on showrooming-webrooming level do you see yourself?","54. Would you use Kiehl's online service?"
"2019/03/16 5:23:22 PM CET","Male","20-29","Philippines","Big city","Medical Student","Master's degree or eqvivalent","<$500","Asian / Pacific","Single, never married","0","10","2","8","9","7","9","8","3","2","8","Yes","9","9","8","1","2","$10-$19","Aveeno, Dove","8","9","10","4","2","1","1","1","2","1","No","","","","","","Lazada","Convenient","Can buy anything","9","4","2","4","4","6","5"
"2019/03/16 5:48:00 PM CET","Female","20-29","UK","Small town","Student","Bachelor's degree or eqvivalent","<$500","White","Single, never married","0","8","8","9","10","6","6","2","7","6","10","Yes","7","9","10","7","6","<$10","Simple and Clarins","7","9","8","5","1","6","1","1","8","1","No","","","","","","Superdrug, Boots, feelunique.com","Trusted stores/website","Easy ","10","8","1","4","2","5","5"
"2019/03/16 5:50:51 PM CET","Male","20-29","Finland","Small town","Student","Bachelor's degree or eqvivalent","<$500","White","Single, never married","0","7","7","2","8","3","2","9","1","3","4","Yes","3","3","5","2","1","<$10","Nivea","3","8","6","3","1","1","1","1","1","1","No","","","","","","","","","","","","","","","1"
"2019/03/16 8:11:24 PM CET","Female","30-39","USA","Rural area","Sales","Bachelor's degree or eqvivalent","$1500-$3000","White","Married or domestic partnership","0","9","5","9","10","4","1","2","9","2","4","Yes","7","4","5","1","6","<$10","Not loyal to any 1 brand","5","7","8","4","1","1","1","1","8","1","No","","","","","","Amazon ","Convenient ","Ease, reviews","10","6","1","1","5","6","1"
"2019/03/16 8:25:15 PM CET","Female","20-29","india","Small town","assistant professor","Doctorate degree","$800-$1000","Asian / Pacific","Single, never married","0","8","4","8","8","2","1","5","9","6","7","Yes","7","5","3","1","1","$50-$99","lakme","","7","8","7","7","7","1","7","8","1","No","","","","","","amazon","reliable","variety","8","6","3","6","2","9","5"
"2019/03/16 9:10:02 PM CET","Female","20-29","New Zealand","Big city","Historian","Master's degree or eqvivalent","$1000-$1499","White","Married or domestic partnership","0","5","4","2","7","3","3","8","8","3","9","Yes","8","7","1","1","2","$10-$19","Simple kind to skin, the ordinary, Neutrogena","1","5","10","3","6","3","3","9","5","8","No","","","","","","","","","","","","","","","3"
"2019/03/16 11:27:03 PM CET","Female","20-29","United States","Small town","Full-time student, part-time office assistant ","Bachelor's degree or eqvivalent","$500-$799","White","Single, never married","0","10","6","4","10","4","2","1","4","2","8","Yes","7","5","5","1","4","$20-$49","A variety (not partial to one brand)","6","10","10","5","1","5","8","3","7","1","No","","","","","","Sephora ","They offer lots of perks and free samples ","They offer lots of perks and free samples ","8","3","2","8","2","6","5"
"2019/03/17 12:24:23 AM CET","Female","20-29","USA","Big city","Student","High school graduate","<$500","White","Single, never married","0","10","4","1","10","10","10","1","5","7","9","Yes","10","9","6","1","1","$10-$19","Neutrogena, Cetaphil, LaRoche Posay ","6","8","10","8","8","5","8","9","6","6","No","","","","","","","","","","","","","","","1"
"2019/03/17 12:25:19 AM CET","Female","<20","USA","Big city","Museum interpreter","Bachelor's degree or eqvivalent","<$500","White","Single, never married","0","5","4","2","8","5","8","1","9","3","10","Yes","9","9","9","1","2","$10-$19","","5","8","10","3","8","3","1","6","5","5","No","","","","","","","","","","","","","","","1"
"2019/03/17 12:54:50 AM CET","Female","20-29","Unitef States ","Big city","Student ","Master's degree or eqvivalent","$500-$799","Asian / Pacific","Single, never married","0","4","5","8","10","9","10","7","10","7","10","Yes","8","8","6","5","1","$10-$19","Olay","7","10","10","6","7","6","4","8","8","8","No","","","","","","","","","","","","","","","5"
"2019/03/17 12:57:45 AM CET","Female","20-29","NA","Rural area","NA","Bachelor's degree or eqvivalent","$800-$1000","White","Single, never married","0","10","7","7","10","10","6","2","10","7","10","Yes","10","1","10","1","10","$50-$99","Most Korean brands","8","4","10","6","1","5","4","5","10","1","No","","","","","","beautynetkorea","convenient","","10","10","10","8","10","8","1"
"2019/03/17 2:35:54 AM CET","Male","<20","Belgium","Small town","Student","No schooling completed","<$500","White","Single, never married","0","5","4","1","5","7","3","7","10","7","1","No","","","","","","","","","","","","","","","","","1","No","","","","","","","","","","","","","","","5"
"2019/03/17 4:27:54 AM CET","Female","<20","United States","Small town","Student","High school graduate","<$500","White","Single, never married","0","6","6","2","3","4","1","3","8","6","8","Yes","8","4","9","2","1","$20-$49","Simple, Clean and Clear, Oxy","7","6","9","5","3","2","2","2","8","7","No","","","","","","","","","","","","","","","1"
"2019/03/17 4:33:27 AM CET","Male","<20","United States","Rural area","None","High school graduate","$500-$799","White","Single, never married","0","8","3","6","10","8","9","8","9","8","7","No","","","","","","","","","","","","","","","","","2","No","","","","","","","","","","","","","","","5"
"2019/03/17 5:25:49 AM CET","Male","<20","United States","Small town","Student","Bachelor's degree or eqvivalent","<$500","White","Single, never married","0","6","2","2","8","10","6","5","9","6","6","No","1","1","1","1","1","","","","","","","","","","","","1","No","","","","","","","","","","","","","","","1"
"2019/03/17 7:49:15 AM CET","Female","20-29","USA","Big city","College student","Master's degree or eqvivalent","$800-$1000","White","Single, never married","0","3","4","5","8","10","7","10","10","7","10","Yes","10","10","8","1","2","$50-$99","Lush and Cerave","8","10","10","8","10","5","8","2","10","8","No","","","","","","","","","","","","","","","8"
"2019/03/17 8:30:40 AM CET","Male","<20","USA","Small town","Student","High school graduate","<$500","White","Single, never married","0","8","7","3","10","10","10","7","8","7","7","Yes","6","7","7","2","1","$10-$19","Clean & Clear, stridex, clearisil","7","6","10","5","3","5","4","5","6","1","No","","","","","","","","","","","","","","","6"
"2019/03/17 10:05:30 AM CET","Male","<20","Canada","Big city","Computer Technician","Nursery school to 8th grade","$500-$799","Asian / Pacific","Single, never married","0","10","5","5","8","2","3","5","7","4","6","Yes","4","8","8","3","6","$20-$49","","5","7","8","5","5","3","6","5","3","7","Yes","8","5","7","Ultra Facial Cream","Natural products;Premium products;L'Oreal","","","","","","","","","","7"
"2019/03/17 10:58:55 AM CET","Female","30-39","Norway","Big city","Neuroscientist","Doctorate degree",">$3000","White","Married or domestic partnership","2","6","8","2","4","5","3","6","8","6","6","Yes","7","4","4","1","9","$20-$49","Alpha Skin Care, CeraVe","3","8","8","5","2","2","5","5","8","1","No","","","","","","iHerb","It ships cheaply to Norway, which is very rare","It ships cheaply to Norway","8","4","2","3","1","4","4"
"2019/03/17 11:23:46 AM CET","Female","30-39","Australia ","Big city","Beauty therapist and cosmetic tattooist","High school graduate","$1500-$3000","White","Married or domestic partnership","1","3","6","8","7","5","6","3","10","2","10","Yes","10","8","1","1","4","$20-$49","O cosmetics ","5","3","7","8","1","5","1","2","10","1","No","1","1","1","","","","","","","","","","","","1"
"2019/03/17 12:16:02 PM CET","Male","20-29","india","Big city","Buisness","Bachelor's degree or eqvivalent",">$3000","Asian / Pacific","Single, never married","0","10","10","10","10","9","9","7","6","8","8","Yes","8","8","5","5","6","$10-$19","Axe","7","6","7","6","1","10","10","10","10","1","No","","","","","","For Grooming","to look good","it is quite good","10","10","4","8","7","6","10"
"2019/03/17 12:20:48 PM CET","Male","20-29","Cyprus","Big city","unemployed","High school graduate","<$500","White","Single, never married","0","10","5","1","4","1","1","1","5","1","6","No","","","","","","","","","","","","","","","","","1","No","","","","","","","","","","","","","","","1"
"2019/03/17 12:52:37 PM CET","Female","<20","netherlands","Big city","student","Bachelor's degree or eqvivalent","<$500","White","Single, never married","0","5","6","3","10","10","10","8","10","10","10","Yes","10","6","7","10","5","$10-$19","Mario Badescu, garnier, kiehls","8","10","10","5","7","10","1","3","8","6","Yes","10","8","8","moisturizer and face wash and lip balm","Quality","Douglas or any other website the product i am looking for is sold on","because i dont have to go and physically buy it","it arrives to my house","10","4","1","10","2","7","8"
"2019/03/17 12:54:06 PM CET","Female","20-29","England","Big city","Student","Bachelor's degree or eqvivalent","<$500","White","Single, never married","0","8","5","8","8","8","8","5","8","5","7","Yes","5","4","6","3","7","<$10","Simple","6","8","5","5","4","4","4","4","8","6","No","","","","","","Amazon","Easy to us","Quick and easy","7","5","4","5","4","7","5"
"2019/03/17 1:03:58 PM CET","Female","20-29","united kingdom","Big city","student","Master's degree or eqvivalent","<$500","White","Single, never married","0","5","7","6","8","8","8","7","10","7","7","Yes","6","7","7","8","7","$10-$19","Vegan & Cruelty Free Only - I usually use Bao, Siskyn or Lush","8","10","10","6","8","5","8","7","10","6","No","","","","","","Boots, Cult Beauty or the VeganKindSupermarket","Lots of products/brands in one location","Easy to check that products are cruelty free and vegan","10","8","7","7","3","3","5"
"2019/03/17 1:13:58 PM CET","Male","30-39","spain","Small town","Hospitality","High school graduate","$1500-$3000","White","Married or domestic partnership","0","3","5","5","6","4","6","4","10","8","4","No","4","7","7","2","1","<$10","Nivea","3","4","10","4","6","8","3","6","10","1","No","","","","","","","","","","","","","","","1"
"2019/03/17 1:32:33 PM CET","Female","20-29","Russia","Small town","IT Developer","Master's degree or eqvivalent","$1500-$3000","White","Married or domestic partnership","0","4","4","1","1","6","2","7","5","2","8","Yes","10","5","4","7","1","$50-$99","Garnier","5","3","10","10","3","5","5","5","5","1","No","1","1","1","...","nothing","store","...","...","3","2","2","5","4","3","1"
"2019/03/17 1:32:59 PM CET","Female","<20","Germany","Small town","Student","Master's degree or eqvivalent","<$500","White","Single, never married","0","8","6","4","7","10","9","6","10","1","1","No","","","","","","","","","","","","","","","","","1","No","","","","","","","","","","","","","","","1"
"2019/03/17 1:47:03 PM CET","Female","20-29","UK","Big city","Finance","Master's degree or eqvivalent",">$3000","White","Single, never married","0","7","7","3","8","6","6","7","7","1","1","No","","","","","","","","","","","","","","","","","1","No","","","","","","","","","","","","","","","1"
"2019/03/17 2:30:18 PM CET","Female","20-29","uk","Big city","student","Bachelor's degree or eqvivalent","<$500","Black or African","Single, never married","0","9","6","7","8","8","8","8","7","7","6","Yes","9","8","8","7","7","<$10","","8","8","8","8","8","7","8","7","7","7","Yes","7","7","7","eyeliner","Kiehl's Customer Representatives (store experts in white lab coats);Natural products","paypal","secure","good","6","6","6","6","7","6","6"
"2019/03/17 2:49:59 PM CET","Female","20-29","Finland","Big city","Unemployed","High school graduate","$500-$799","White","Single, never married","0","9","5","6","8","4","4","3","7","5","7","Yes","7","5","7","3","2","$10-$19","Nivea, Loreal, Body Shop...","6","7","8","6","1","7","5","2","8","2","No","","","","","","","","","","","","","","","5"
"2019/03/17 3:10:44 PM CET","Male","20-29","Canada","Big city","Student ","Bachelor's degree or eqvivalent",">$3000","White","Single, never married","0","10","3","6","7","4","8","8","8","1","5","Yes","3","1","7","1","1","$10-$19","Dove , Aveeno","2","10","10","7","1","1","1","7","7","1","No","","","","","","","","","","","","","","","5"
"2019/03/17 3:12:30 PM CET","Male","20-29","Russia","Big city","Engineer","Master's degree or eqvivalent","$800-$1000","White","Married or domestic partnership","0","8","2","2","8","5","3","1","3","1","2","Yes","3","3","7","1","1","<$10","","1","5","5","1","1","1","1","1","1","1","No","","","","","","","","","","","","","","","5"
"2019/03/17 3:19:28 PM CET","Female","<20","United States","Small town","Student teacher","High school graduate","<$500","Black or African","Single, never married","0","5","1","1","5","10","4","1","10","7","3","Yes","1","2","8","1","1","<$10","the generic store brand & Noxema","8","10","10","1","1","1","2","10","10","1","No","","","","","","","","","","","","","","","5"
"2019/03/17 4:03:02 PM CET","Female","20-29","Spain","Big city","Unemployed","Bachelor's degree or eqvivalent","<$500","White","Single, never married","0","10","5","3","9","2","10","1","10","2","1","No","1","1","1","1","5","<$10","","1","10","5","5","1","1","5","1","5","1","No","","","","","","","","","","","","","","","1"
"2019/03/17 5:17:46 PM CET","Male","<20","USA","Rural area","student","High school graduate","$500-$799","White","Single, never married","0","5","2","1","9","2","6","1","10","1","3","Yes","","","10","","","<$10","","","","","","","","","","","1","No","","","","","","","","","","","","","","","4"
"2019/03/17 5:24:33 PM CET","Female","<20","United States","Big city","Student","High school graduate","<$500","Hispanic or Latino","Single, never married","0","5","3","7","7","3","3","10","8","7","10","Yes","7","10","6","1","1","$20-$49","Neutrogena ","6","8","9","7","8","9","1","1","10","1","No","","","","","","","","","","","","","","","1"
"2019/03/17 5:25:20 PM CET","Female","20-29","Portugal","Small town","Artist","Bachelor's degree or eqvivalent","<$500","Hispanic or Latino","Married or domestic partnership","0","7","4","1","1","5","2","5","10","4","4","Yes","6","7","9","1","1","<$10","","8","6","10","7","6","9","7","8","10","1","No","","","","","","","","","","","","","","","1"
"2019/03/17 5:30:44 PM CET","Female","20-29","Malta","Small town","Student","Bachelor's degree or eqvivalent","<$500","White","Single, never married","0","6","8","7","10","10","8","6","7","9","9","Yes","5","8","9","7","4","$20-$49","Nivea","8","8","7","7","7","3","7","10","9","6","Yes","7","3","6","Ultra facial cream","Quality","Ebay","Easy to use","Good to browse and fast","7","6","1","3","2","5","6"
"2019/03/17 5:40:30 PM CET","Female","<20","China","Big city","student","Bachelor's degree or eqvivalent","<$500","Asian / Pacific","Single, never married","0","4","5","5","6","6","6","6","6","6","6","Yes","6","6","6","6","6","$10-$19","Clinique","6","6","6","7","6","4","8","6","7","7","Yes","7","6","6","facewash","Quality","idk","idk","idk","6","4","6","6","5","7","5"
"2019/03/17 5:44:13 PM CET","Female","30-39","USA","Big city","SAHM","Bachelor's degree or eqvivalent","<$500","White","Married or domestic partnership","2","4","2","8","8","4","1","2","10","6","8","Yes","10","8","2","1","5","$10-$19","It varies","1","8","10","8","3","8","6","8","8","5","No","","","","","","","","","","","","","","8","1"
"2019/03/17 6:01:03 PM CET","Female","<20","Soutu Africa","Small town","Student","High school graduate","<$500","Black or African","Single, never married","0","8","1","1","8","2","5","1","10","5","10","Yes","6","7","6","3","2","$10-$19","Dove","6","7","10","7","2","8","2","7","7","1","No","","","","","","","","","","","","","","","2"
"2019/03/17 6:15:00 PM CET","Female",">60","Uunited States","Big city","Retired","High school graduate",">$3000","Black or African","Married or domestic partnership","3+","1","5","5","2","7","1","6","10","10","10","Yes","10","8","6","1","1","$20-$49","Mary Kay","10","5","10","5","4","1","10","10","10","5","No","","","","","Only seen advert","","","","5","","1","","","1","5"
"2019/03/17 6:59:12 PM CET","Female","<20","Vietnam ","Big city","Student","High school graduate","<$500","Asian / Pacific","Single, never married","0","6","7","6","5","4","6","5","10","3","6","Yes","5","8","6","4","5","$20-$49","Many brands","7","7","9","6","7","7","4","6","6","6","No","","","","","","","","","","","","","","","8"
"2019/03/17 7:24:42 PM CET","Female","<20","Iran","Big city","Student/freelancer artist","No schooling completed","$1000-$1499","Other","Single, never married","0","10","3","1","2","1","2","5","2","1","1","No","","","","","","","","","","","","","","","","","1","No","","","","","","","","","","","","","","","2"
"2019/03/17 7:25:32 PM CET","Female","20-29","uk","Big city","student","Bachelor's degree or eqvivalent","<$500","White","Single, never married","0","8","9","10","10","8","9","8","10","8","10","Yes","10","10","8","8","6","$20-$49","proactive, kiehls, garnier, nivea","7","7","10","6","9","7","3","7","9","9","Yes","10","10","10","rare earth cleansing mask","Kiehl's Customer Representatives (store experts in white lab coats)","boots","they have a lot of brands","variety, can read reviews","10","8","6","6","5","7","8"
"2019/03/17 8:03:27 PM CET","Male","<20","United States","Small town","Student","High school graduate","<$500","White","Single, never married","0","7","4","8","6","8","4","7","6","3","5","No","","","","","","","","","","","","","","","","","1","No","","","","","","","","","","","","","","","4"
"2019/03/18 12:27:14 AM CET","Female","20-29","USA","Small town","engineer","Master's degree or eqvivalent",">$3000","White","Married or domestic partnership","0","2","5","2","7","8","8","10","9","7","7","Yes","7","6","2","1","5","<$10","stridex, cetaphil, zapzit","3","8","8","2","1","2","1","3","4","5","No","","","","","","amazon, target.com","price and selection","better selection than in-store near me","8","5","1","2","2","5","2"
"2019/03/18 2:04:36 AM CET","Female","20-29","US","Small town","College student","Bachelor's degree or eqvivalent","<$500","Black or African","Single, never married","0","7","7","1","9","6","6","1","7","5","1","Yes","4","10","6","3","1","$20-$49","Depends - a lot of Cetaphil though","6","9","8","5","9","9","7","8","8","1","No","","","","","","","","","","","","","","","1"
"2019/03/18 5:11:17 AM CET","Female","20-29","USA","Big city","Server","High school graduate","$1000-$1499","Other","Single, never married","0","7","7","8","8","7","5","3","6","10","10","Yes","9","7","7","4","8","$50-$99","Many","9","1","10","5","1","1","5","10","6","7","Yes","5","5","6","Lotion","Soko Glam","Soko Glam, Amazon, The specific brands website.","Access, prices and product availability.","Product availability ","7","10","2","10","2","9","8"
"2019/03/18 10:31:26 AM CET","Female","30-39","Australia","Big city","Public servant","Master's degree or eqvivalent",">$3000","White","Married or domestic partnership","0","5","6","2","5","6","2","2","2","5","8","Yes","9","8","3","1","8","$20-$49","CeraVe, Skinstitut, skinfood, BCL, Benton, Petitfree, Etude House, Biore","5","5","9","6","5","5","4","1","7","5","No","","","","","","iherb, dokodemo, sweetcorea","because it allows me access to products that are unavailable to me in-store in my city","cheap, reliable","7","7","4","9","8","5","1"
"2019/03/18 2:47:53 PM CET","Female","20-29","USA","Big city","Student","Bachelor's degree or eqvivalent","<$500","Hispanic or Latino","Single, never married","0","10","5","4","8","2","8","1","9","8","10","Yes","8","9","8","5","2","$20-$49","CERAVE, cetaphil","6","10","10","6","6","6","5","5","8","10","Yes","6","6","5","Creamy under eye avocado treatment","New York","","","","","","","","","","5"
"2019/03/18 6:03:50 PM CET","Female","20-29","UK","Big city","Customer Service ","Bachelor's degree or eqvivalent","$1500-$3000","White","Single, never married","0","7","8","9","10","6","8","4","10","5","7","Yes","8","3","8","3","9","$20-$49","Cetaphil, EcoFeminii, Mario Badescu, Boots","8","10","10","5","4","6","3","3","10","1","No","","","","","","Amazon","Cheap, convenient, fast delivery","Price, easy to compare similar products","9","8","6","7","3","4","1"
"2019/03/18 8:42:04 PM CET","Female","20-29","United States","Small town","Business Management","Bachelor's degree or eqvivalent","$1500-$3000","Hispanic or Latino","Single, never married","0","8","6","9","10","3","3","1","10","8","8","Yes","8","8","8","8","5","$10-$19","Asepxia, PréDiré Paris, Bionyx, Mario Badescu","7","8","10","8","9","8","8","7","8","1","No","","","","","","","","","","","","","","","1"
"2019/03/18 9:37:01 PM CET","Female","30-39","USA","Big city","Unemployed/Student","Bachelor's degree or eqvivalent","<$500","Asian / Pacific","Single, never married","0","5","3","4","7","4","7","2","8","7","9","Yes","8","7","6","3","3","$20-$49","Fresh, Keihl's, Caudalie","6","5","10","6","8","6","8","7","7","9","Yes","8","10","8","Avocado Eye Cream","Natural products;Premium products;Quality","Sephora App","With the Sephora membership I get points, early access to sales, and better samples than I would get in store","The variety of brands and the membership benefits","10","6","5","6","5","8","3"
"2019/03/18 10:53:41 PM CET","Female","20-29","Canada","Rural area","Interior Designer","Bachelor's degree or eqvivalent","$1000-$1499","White","Single, never married","0","7","7","10","10","9","9","10","10","7","10","Yes","10","9","9","7","7","$50-$99","Kiehl's, Cerave, First Aid Beauty, Dermalogica","8","10","10","6","5","2","6","10","9","9","Yes","9","10","8","Ultra Facial Cream","Kiehl's Customer Representatives (store experts in white lab coats);Natural products;Premium products;Quality","Sephora","Convenient and easy to find products","Able to read reviews about products, fast shipping and good customer service.","10","10","4","6","3","7","7"
"2019/03/18 11:07:22 PM CET","Female","20-29","Germany","Small town","Student","Master's degree or eqvivalent","$1000-$1499","White","Married or domestic partnership","0","8","9","4","10","8","6","9","10","9","10","Yes","10","9","9","1","10","$20-$49","diverse","5","10","10","9","10","6","7","10","10","10","Yes","8","","8","midnight serum","Kiehl's Customer Representatives (store experts in white lab coats)","","","","","10","3","10","2","1","8"
"2019/03/19 3:10:31 AM CET","Female","20-29","Usa","Big city","Sales","High school graduate",">$3000","White","Single, never married","0","10","7","7","8","5","7","4","4","5","8","Yes","8","5","6","1","1","$10-$19","Fresh, biore","7","6","9","8","1","3","7","1","8","7","No","1","6","1","Na","Social media ","Amazon, Sephora ","Convenient ","Reviews","8","10","1","8","2","10","10"
"2019/03/19 4:38:07 AM CET","Female","20-29","United States","Rural area","Student","Bachelor's degree or eqvivalent","$800-$1000","White","Single, never married","0","8","4","4","5","6","8","2","10","5","5","No","","","","","","","","","","","","","","","","","1","No","","","","","","","","","","","","","","","2"
"2019/03/19 1:54:56 PM CET","Female","20-29","Finland","Big city","Marketing Specialist Northern Europe","Bachelor's degree or eqvivalent",">$3000","White","Single, never married","0","8","9","6","9","7","7","7","4","8","6","Yes","7","7","4","1","5","<$10","various brands, my favorite is Lumene","8","6","9","6","1","3","2","1","6","5","No","","","","","","Whichever I find","Convenience, no time for offline shopping","Speed & convenience","5","3","1","3","1","8","4"
"2019/03/19 3:00:10 PM CET","Female","20-29","Hungary","Big city","Marketing","Bachelor's degree or eqvivalent","$800-$1000","White","Single, never married","0","10","8","5","10","8","9","10","9","8","7","Yes","8","8","7","7","3","$10-$19","Ordinary, Helia-D, Neutrogena","7","6","10","5","8","7","4","3","8","7","No","","","","","","Online drugstore's, or shops like ASOS","it's convienient","fast, easy","9","9","3","8","7","5","8"
"2019/03/19 3:09:54 PM CET","Male","20-29","engladn","Big city","supervisor","Bachelor's degree or eqvivalent","$1000-$1499","White","Single, never married","0","2","2","2","2","4","7","6","6","6","6","Yes","4","7","5","3","6","$20-$49","kiehls","7","8","10","6","6","","9","","7","10","Yes","8","8","10","face lotion","Natural products;Premium products;New York;Quality;L'Oreal","online","easier","efficency","7","5","6","8","1","5","8"
"2019/03/19 4:00:17 PM CET","Female","20-29","Germany","Small town","a chemist","Master's degree or eqvivalent","$1000-$1499","White","Single, never married","0","9","5","1","4","5","4","6","7","4","5","Yes","6","6","7","2","2","<$10","Yves Rocher","7","7","7","6","7","6","7","7","7","1","No","","","","","","Fragonard website","I use their poducts","Nice graphic, fast and professional international service","8","4","1","1","2","8","2"
"2019/03/19 5:01:34 PM CET","Female","20-29","United Kingdom ","Small town","Student ","Bachelor's degree or eqvivalent","<$500","White","Single, never married","0","4","7","3","6","5","6","4","10","7","8","Yes","8","8","7","8","8","$20-$49","Burts Bees, Kiehls, Origins ","8","6","8","7","5","6","2","2","7","8","Yes","8","8","8","Kiehls creamy eye treatment with avocado","Quality","the brands website or places which sell a variety of products like asos ","online places like asos often sell the product cheaper ","variety ","8","6","1","7","2","1","8"
"2019/03/19 6:02:21 PM CET","Female","20-29","United States","Rural area","Marketing ","Bachelor's degree or eqvivalent","$1000-$1499","White","Single, never married","0","8","5","10","10","10","10","4","7","7","10","Yes","10","10","10","1","3","$20-$49","Different kinds. ","7","10","10","6","1","1","10","10","7","7","Yes","7","7","5","Ultra toner","Premium products;Quality","Buy enough for free shop or ship to store","I don’t like to pay extra for shipping ","That I don’t have to spend money on shipping ","6","10","1","10","6","10","7"
"2019/03/19 9:40:16 PM CET","Female","30-39","Australia ","Big city","Business owner","Bachelor's degree or eqvivalent",">$3000","White","Married or domestic partnership","1","7","8","8","10","9","9","6","10","5","10","Yes","10","10","7","5","10","$20-$49","R+F","7","7","10","10","8","7","10","9","10","5","No","","","","","","Website ","Only method","Easy","10","10","3","3","5","5","1"
"2019/03/19 10:39:37 PM CET","Female","40-49","Barbados","Rural area","Administrative Assistant","High school graduate","$800-$1000","Black or African","Single, never married","0","8","7","1","3","8","8","5","10","9","10","Yes","10","8","9","8","7","$20-$49","Face washes, Cleansers, Masks, Toners, Moisturisers, Scrubs","9","10","10","8","10","10","10","10","10","10","Yes","10","9","10","","Natural products;Premium products;Quality","Usually the company's site, Sephora or Ulta","","","10","10","4","6","4","5","10"
"2019/03/20 12:09:23 AM CET","Female","<20","US","Small town","Student","Nursery school to 8th grade","<$500","White","Single, never married","0","8","6","10","10","5","7","5","8","8","10","Yes","10","5","8","10","8","$20-$49","Derma E, Freeman, Palmers, L’Oréal, ELAX, Victoria’s Secret, Aveeno, etc","5","6","7","6","1","4","5","7","5","1","No","","","","","","Ulta, Amazon, Victoria’s Secret ","Reliable and cute stuff","Easy and familiar ","8","6","5","5","4","3","2"
"2019/03/20 9:53:04 AM CET","Female","30-39","Nigeria","Big city","Public servant ","Bachelor's degree or eqvivalent","<$500","Black or African","Single, never married","0","10","3","2","6","4","4","5","5","5","9","Yes","7","10","8","2","1","$20-$49","Organic","10","5","7","8","1","6","7","6","5","1","No","","","","","","","","","","","","","","","5"
"2019/03/20 12:07:58 PM CET","Male","20-29","England","Rural area","Student","Bachelor's degree or eqvivalent","<$500","White","Single, never married","0","1","2","3","7","6","8","9","6","2","3","Yes","2","2","2","2","2","$10-$19","Nivea","2","8","6","3","3","8","2","2","5","1","No","","","","","","","","","","","","","","","1"
"2019/03/20 2:00:42 PM CET","Female","30-39","Usa","Big city","Administrative Assistant","High school graduate",">$3000","White","Married or domestic partnership","0","8","8","7","9","4","9","1","7","4","5","Yes","1","5","7","1","10","<$10","Oil of olay","3","10","7","5","1","","5","9","6","1","No","","","","","","Amazon","I have prime","Amazon has everything and i have free 2 day shipping","10","4","1","3","3","7","2"
"2019/03/20 2:27:46 PM CET","Female","20-29","Wales","Big city","Student","High school graduate","$500-$799","White","Married or domestic partnership","0","6","3","3","9","6","10","8","9","9","10","Yes","10","9","7","3","4","$10-$19","Lush, Superdrug","8","8","10","5","8","8","3","3","10","5","No","","","","","","","","","","","","","","","5"
"2019/03/20 4:02:08 PM CET","Female","20-29","Polish","Big city","Student","Bachelor's degree or eqvivalent","$1000-$1499","White","Single, never married","0","10","3","1","10","4","7","3","8","8","9","Yes","8","9","9","1","1","$10-$19","Innisfree (Korean brand)","8","9","10","6","6","8","8","6","9","1","No","","","","","","Online retailers","Good price, many products available ","Price","9","3","1","5","6","9","7"
"2019/03/20 4:20:31 PM CET","Female","20-29","Netherlands","Big city","Student ","Bachelor's degree or eqvivalent","$500-$799","White","Single, never married","0","7","9","9","8","7","8","9","5","7","10","Yes","10","6","9","7","10","$20-$49","loreal, clinique ","5","5","7","6","5","7","3","5","3","1","No","","","","","","phone","its fast","","7","8","4","6","","3","8"
"2019/03/20 4:25:15 PM CET","Female","20-29","USA","Small town","Student","Master's degree or eqvivalent","$500-$799","White","Married or domestic partnership","0","7","8","7","8","6","6","6","10","5","6","Yes","6","7","6","4","4","$10-$19","Varies","6","9","9","6","6","6","6","5","10","1","No","","","","","","Amazon ","They ship to where I live ","See above","8","6","3","7","6","6","6"
