"Vremenska oznaka","1. Gender:","2. Age:","3. Country:","4. Place of living:","5. Profession:","6. Level of education:","7. Monthly income:","8. Ethnic origin:","9. Marital Status:","10. Children:","11. How much time you spend online per day?","12. How often do you buy online?","13. How often do you buy using your mobile phone?","14. How much do you use mobile phone and it's apps?","15. How socially active are you?","16. How much do you use social networks?","17. How sporty are you?","18. How much do you care about environment protection and animals?","19. How trendy are you?","20. How much do you care about your skin?","21. Do you use skincare products?","22. How much informed are you before buying skincare products?","23. How much do you care about expert's recommendations on skincare products?","24. How much do you care about friend's recommendations on skincare products?","25. How much influence on your skincare brand choice has a celebrity recommendation?","26. Where do you buy skincare products?","27. How much (at average) you spend on skincare products per month?","28. What brand of skincare products do you use?","29. How much do you care about natural ingredients in skincare products?","30. How much do you care about the price of a skincare product?","31. How much do you care about the quality of a skincare product?","32. Do you prefer premium or mass products? ","33. How much do you care about the social image of the skincare brand you are buying products from?","34. How much do you care about a store (online or offline) service of the skincare brands?","35. How important for you are free samples before buying?","36. How important for you are a good return policies of skincare brand?","37. How important for you are a skincare brand's environmental and animal testing policies?","38. Do you know brand Kiehl's?","39. Do you use Kiehl's products?","40. What's your level of satisfaction with Kiehl's products?","41. What's your level of satisfaction with Kiehl's service?","42. Would you recommend Kiehl's to your friends and acquaintances?","43. What is your favorite Kiehl's product?","44. What do you associate Kiehl's with?","45. If you buy online skincare products, what service do you use to buy them?","46. Why you use this service?","47. What are your favorite things about this service?","48. How satisfied are you with the online service you are using?","49. How often do you visit online store for skincare products?","50. How many skincare products do you buy online per month?","51. How long you shop before making a purchase of skincare products online?","52. How many items do you buy per online purchase of skincare products?","53. Where on showrooming-webrooming level do you see yourself?","54. Would you use Kiehl's online service?"
"2019/03/15 10:51:02 AM CET","Male","40-49","Netherlands","Small town","Software Architect","High school graduate","$1500-$3000","White","Separated / Divorced","0","6","3","1","3","2","1","3","10","1","3","No","3","1","1","1","1","$10-$19","Don't even know. Don't consider brands to be important. I go for price, smell and functionality.","3","8","7","1","1","1","1","1","3","1","No","","","","","","","","","","","","","","","1"
"2019/03/15 11:29:41 AM CET","Female","20-29","France","Big city","Student","Master's degree or eqvivalent","$800-$1000","White","Single, never married","0","7","3","1","7","7","10","3","10","6","7","Yes","8","8","7","1","1","<$10","Alterra, La Roche-Posay","9","8","10","5","1","1","8","1","9","5","No","","","","","","","","","","","","","","","1"
"2019/03/15 11:44:31 AM CET","Female","20-29","Russia","Big city","student","Bachelor's degree or eqvivalent","$500-$799","Other","Single, never married","0","8","2","1","1","2","4","1","6","1","3","Yes","6","3","9","1","1","<$10","Clearasil, Nivea, stopproblem, Чистая Линия, ВИТЭКС (Black Clean)","3","10","10","5","1","2","4","4","4","1","No","","","","","","","","","","","","","","","2"
"2019/03/15 11:44:52 AM CET","Female","20-29","USA","Big city","Student","Bachelor's degree or eqvivalent","$500-$799","Asian / Pacific","Single, never married","0","7","7","8","10","8","8","5","10","6","9","Yes","9","10","9","8","10","$20-$49","Kiehl’s, CosRx, Laneige, Origins","8","8","10","4","8","9","9","9","9","10","Yes","9","10","10","Midnight recovery concentrate","Kiehl's Customer Representatives (store experts in white lab coats);Free samples;Quality","Kiehl’s.com","Free samples, reward points","Free samples, reward points","10","8","4","5","8","6","10"
"2019/03/15 11:59:37 AM CET","Female","<20","Sweden","Big city","Student","High school graduate","<$500","White","Married or domestic partnership","0","6","8","2","7","6","3","3","8","7","5","No","","","","","","","","","","","","","","","","","1","No","","","","","","","","","","","","","","","5"
"2019/03/15 12:12:23 PM CET","Female","20-29","USA","Small town","Registered Nurse","Bachelor's degree or eqvivalent","$800-$1000","Asian / Pacific","Single, never married","0","7","4","3","9","8","8","6","10","4","8","Yes","7","6","7","2","6","$10-$19","Multiple brands","4","4","9","7","3","3","7","4","3","1","No","","","","","","","","","","","","","","","6"
"2019/03/15 12:15:02 PM CET","Female","<20","Finland","Big city","Student ","High school graduate","<$500","White","Single, never married","0","8","4","3","9","5","6","1","6","2","8","Yes","6","5","5","2","1","<$10","Nivea, L'Oréal, Garnier ","6","10","9","4","4","3","1","2","6","3","No","","","","","","","","","","","","","","","1"
"2019/03/15 12:30:39 PM CET","Female","20-29","germany","Big city","-","High school graduate","<$500","White","Single, never married","0","6","4","1","4","1","1","1","8","1","6","Yes","6","6","7","1","1","<$10","Neutrogena, Bebe, Balea","3","10","7","1","5","3","7","7","8","1","No","","","","","","","","","","","","","","","1"
"2019/03/15 12:39:59 PM CET","Female","20-29","Canada","Small town","Garden center","High school graduate","$500-$799","White","Married or domestic partnership","0","6","1","1","5","2","1","2","9","1","2","Yes","7","1","5","1","1","<$10","No specific brand","7","10","8","2","1","1","1","3","2","1","No","","","","","","","","","","","","","","","1"
"2019/03/15 12:42:13 PM CET","Female","30-39","UK","Big city","Operations Manager (law firm)","High school graduate","$1500-$3000","White","Married or domestic partnership","0","6","4","5","9","6","1","3","6","7","9","Yes","9","9","10","2","2","$50-$99","No 7; Liz Earle","6","7","9","5","4","3","2","1","6","5","No","","","","","","","","","","","","","","","6"
